Date,Open,High,Low,Close,Volume
15/05/2018 09:00:00,1064.3,1066,1064.3,1065,51
15/05/2018 09:03:00,1065.7,1065.9,1064.5,1065.9,32
15/05/2018 09:06:00,1065,1066,1065,1065.9,21
15/05/2018 09:09:00,1065.9,1066.2,1065.9,1065.9,107
15/05/2018 09:12:00,1065.3,1065.9,1065.3,1065.3,21
15/05/2018 09:15:00,1066,1066.2,1066,1066.2,6
15/05/2018 09:18:00,1066,1066.2,1065.7,1066.2,39
15/05/2018 09:21:00,1065.2,1065.6,1065.2,1065.5,32
15/05/2018 09:24:00,1064.5,1065.7,1064.5,1065,36
15/05/2018 09:27:00,1065,1065.7,1065,1065.7,16
15/05/2018 09:30:00,1064.2,1065,1064.2,1065,65
15/05/2018 09:33:00,1062.5,1064.7,1062.5,1063.8,30
15/05/2018 09:36:00,1063,1063.5,1063,1063.5,20
15/05/2018 09:39:00,1064.9,1066,1064.9,1065.8,26
15/05/2018 09:42:00,1064.6,1067,1064.6,1066.4,18
15/05/2018 09:45:00,1067,1067.5,1067,1067.5,12
15/05/2018 09:48:00,1067,1068,1067,1068,13
15/05/2018 09:51:00,1068,1068.9,1068,1068.5,29
15/05/2018 09:54:00,1067.3,1068.7,1067,1068.5,21
15/05/2018 09:57:00,1066,1067,1066,1067,15
15/05/2018 10:00:00,1067,1067.5,1066.8,1067,12
15/05/2018 10:03:00,1067,1067.8,1067,1067.8,13
15/05/2018 10:06:00,1066.4,1067,1066,1067,37
15/05/2018 10:09:00,1066.5,1067,1066.5,1066.9,4
15/05/2018 10:12:00,1066.1,1066.3,1066.1,1066.3,3
15/05/2018 10:15:00,1066.1,1066.5,1066,1066.5,5
15/05/2018 10:18:00,1066.1,1066.1,1066,1066,12
15/05/2018 10:21:00,1065.7,1066.1,1065.7,1066,22
15/05/2018 10:24:00,1065.8,1066.5,1065.7,1066.5,23
15/05/2018 10:27:00,1065.5,1066,1065.1,1066,8
15/05/2018 10:30:00,1065.1,1065.5,1065.1,1065.5,4
15/05/2018 10:33:00,1065.3,1066,1065,1066,21
15/05/2018 10:36:00,1065.1,1066,1065.1,1066,8
15/05/2018 10:39:00,1066.3,1067.9,1066.3,1067.8,14
15/05/2018 10:42:00,1068,1068,1068,1068,3
15/05/2018 10:45:00,1068,1068.6,1068,1068.6,14
15/05/2018 10:48:00,1065.7,1067,1065.7,1067,23
15/05/2018 10:51:00,1065.7,1065.9,1065.7,1065.7,15
15/05/2018 10:54:00,1065.7,1066.7,1065.7,1066.7,9
15/05/2018 10:57:00,1065.7,1067,1065.5,1067,44
15/05/2018 11:00:00,1065.5,1067.9,1065.5,1067.9,27
15/05/2018 11:03:00,1068,1070,1067.9,1070,75
15/05/2018 11:06:00,1069,1070,1069,1070,28
15/05/2018 11:09:00,1069,1071.9,1069,1071.4,100
15/05/2018 11:12:00,1071.9,1072,1070.9,1072,17
15/05/2018 11:15:00,1072,1074.3,1072,1074,21
15/05/2018 11:18:00,1073,1074.7,1073,1074.7,30
15/05/2018 11:21:00,1072.6,1074,1072.3,1074,40
15/05/2018 11:24:00,1072,1073,1072,1072.6,46
15/05/2018 11:27:00,1070.4,1072,1070.4,1072,30
15/05/2018 11:30:00,1072,1073,1072,1073,13
15/05/2018 13:00:00,1073,1074.2,1073,1074.2,32
15/05/2018 13:03:00,1073,1075,1073,1075,17
15/05/2018 13:06:00,1075.5,1078,1075.5,1077.9,49
15/05/2018 13:09:00,1077.2,1078,1076.5,1077.9,28
15/05/2018 13:12:00,1077.9,1078.8,1077.9,1078.5,29
15/05/2018 13:15:00,1075.7,1078,1075.4,1078,23
15/05/2018 13:18:00,1077.4,1078.6,1077.4,1078.5,17
15/05/2018 13:21:00,1077,1078.8,1077,1078.6,26
15/05/2018 13:24:00,1076.4,1077,1076.3,1076.6,16
15/05/2018 13:27:00,1076.5,1077,1076,1077,29
15/05/2018 13:30:00,1075,1076,1075,1076,47
15/05/2018 13:33:00,1075.5,1077,1075.5,1077,21
15/05/2018 13:36:00,1076,1079,1076,1079,107
15/05/2018 13:39:00,1079,1079.6,1077.1,1079.6,55
15/05/2018 13:42:00,1079,1080,1078,1079.8,59
15/05/2018 13:45:00,1079,1080.2,1079,1080,11
15/05/2018 13:48:00,1078,1079,1077.5,1078.3,43
15/05/2018 13:51:00,1076.4,1077.5,1076,1077.1,30
15/05/2018 13:54:00,1075,1077,1075,1077,44
15/05/2018 13:57:00,1077,1078.5,1077,1078,31
15/05/2018 14:00:00,1077,1078,1076.7,1078,15
15/05/2018 14:03:00,1075.1,1077.5,1073.1,1076.8,58
15/05/2018 14:06:00,1067,1073.1,1067,1070.6,107
15/05/2018 14:09:00,1066.2,1070,1065.6,1070,108
15/05/2018 14:12:00,1070,1071.5,1066.1,1071.5,84
15/05/2018 14:15:00,1066,1067,1063,1066,89
15/05/2018 14:18:00,1061.5,1065,1061.3,1063,90
15/05/2018 14:21:00,1061.1,1066.7,1058.2,1066.7,123
15/05/2018 14:24:00,1058.1,1063,1058,1062,60
15/05/2018 14:27:00,1060,1062,1060,1062,100
15/05/2018 14:30:00,1061,1063,1060.1,1062,33
15/05/2018 14:45:00,1058,1058,1058,1058,103
16/05/2018 09:00:00,1057,1057,1057,1057,39
16/05/2018 09:03:00,1057,1057,1057,1057,18
16/05/2018 09:06:00,1057,1058,1057,1057.9,15
16/05/2018 09:09:00,1057,1057,1056.5,1057,21
16/05/2018 09:12:00,1055.9,1057,1055.9,1057,26
16/05/2018 09:15:00,1054.7,1056,1054.7,1056,35
16/05/2018 09:18:00,1055,1056,1055,1056,41
16/05/2018 09:21:00,1055,1057.8,1055,1057.5,48
16/05/2018 09:24:00,1057.2,1057.5,1057.2,1057.5,13
16/05/2018 09:27:00,1057.7,1057.9,1057.1,1057.8,56
16/05/2018 09:30:00,1056,1057.8,1056,1057,30
16/05/2018 09:33:00,1056.2,1057.7,1056.1,1057.7,28
16/05/2018 09:36:00,1057.9,1059,1057.8,1059,42
16/05/2018 09:39:00,1059,1060,1059,1060,18
16/05/2018 09:42:00,1059,1060,1059,1060,31
16/05/2018 09:45:00,1059.8,1060.7,1059.8,1060.7,33
16/05/2018 09:48:00,1060.8,1061.5,1060.5,1061.5,25
16/05/2018 09:51:00,1059,1060,1059,1060,57
16/05/2018 09:54:00,1059.1,1062,1059,1061.8,55
16/05/2018 09:57:00,1059,1060.8,1059,1060.2,18
16/05/2018 10:00:00,1058,1059,1058,1058.5,18
16/05/2018 10:03:00,1058.5,1061,1058.5,1061,13
16/05/2018 10:06:00,1060,1060,1060,1060,11
16/05/2018 10:09:00,1060.4,1061,1060.4,1061,12
16/05/2018 10:12:00,1061,1062,1061,1062,27
16/05/2018 10:15:00,1061,1063.5,1061,1063.5,18
16/05/2018 10:18:00,1060.6,1061,1060,1061,11
16/05/2018 10:21:00,1060,1060.2,1060,1060.2,2
16/05/2018 10:24:00,1060.1,1060.8,1060,1060.8,34
16/05/2018 10:27:00,1060.3,1061,1060,1060.5,15
16/05/2018 10:30:00,1058.5,1060.5,1058.1,1059.5,75
16/05/2018 10:33:00,1055,1058,1055,1057,109
16/05/2018 10:36:00,1055,1057,1055,1055.1,53
16/05/2018 10:39:00,1054,1055,1053,1055,75
16/05/2018 10:42:00,1053,1054,1052.1,1054,61
16/05/2018 10:45:00,1054,1055.7,1053,1055,62
16/05/2018 10:48:00,1053.1,1055,1053,1055,17
16/05/2018 10:51:00,1054.1,1056,1054,1056,34
16/05/2018 10:54:00,1056,1056.9,1055.5,1056.1,55
16/05/2018 10:57:00,1055.2,1056.7,1055,1056.7,27
16/05/2018 11:00:00,1055,1055.3,1055,1055.3,35
16/05/2018 11:03:00,1055,1057.9,1055,1057.9,29
16/05/2018 11:06:00,1058,1058.9,1057.1,1058,36
16/05/2018 11:09:00,1057.1,1058,1056,1058,26
16/05/2018 11:12:00,1057,1058.4,1057,1058.4,35
16/05/2018 11:15:00,1057,1058,1056.6,1058,15
16/05/2018 11:18:00,1056,1057.3,1055,1057.3,32
16/05/2018 11:21:00,1054,1055,1053.5,1054,28
16/05/2018 11:24:00,1052,1053.5,1050.1,1053.1,88
16/05/2018 11:27:00,1050.2,1052,1050,1051.7,76
16/05/2018 11:30:00,1051,1051,1050.6,1050.6,2
16/05/2018 13:00:00,1050,1050.1,1049.8,1050,60
16/05/2018 13:03:00,1050,1051.5,1050,1051.4,32
16/05/2018 13:06:00,1049.1,1050.2,1049,1050.1,66
16/05/2018 13:09:00,1049,1051,1049,1051,57
16/05/2018 13:12:00,1051,1052.9,1051,1052.9,11
16/05/2018 13:15:00,1052,1052.6,1050,1052.6,48
16/05/2018 13:18:00,1046.3,1050,1045.5,1048.5,143
16/05/2018 13:21:00,1045,1046,1045,1045.2,154
16/05/2018 13:24:00,1044,1045.8,1043.4,1045,161
16/05/2018 13:27:00,1044.2,1046,1044.2,1046,150
16/05/2018 13:30:00,1045.8,1047.8,1045,1047.8,55
16/05/2018 13:33:00,1047.5,1048.5,1047,1048,66
16/05/2018 13:36:00,1047,1048.5,1047,1048,80
16/05/2018 13:39:00,1045,1048,1044.6,1047,87
16/05/2018 13:42:00,1044.8,1045.8,1044.5,1045.8,38
16/05/2018 13:45:00,1045.5,1045.9,1044.5,1045.7,81
16/05/2018 13:48:00,1040.5,1044.5,1040.1,1041.9,241
16/05/2018 13:51:00,1039,1041,1039,1041,143
16/05/2018 13:54:00,1039,1040,1038,1040,137
16/05/2018 13:57:00,1040,1042.9,1040,1042.8,89
16/05/2018 14:00:00,1042,1045,1042,1045,218
16/05/2018 14:03:00,1044,1045,1042,1044.8,97
16/05/2018 14:06:00,1041.5,1042.8,1041,1042.1,22
16/05/2018 14:09:00,1041,1043.6,1040.8,1043.6,98
16/05/2018 14:12:00,1040,1042.8,1038.3,1042.8,96
16/05/2018 14:15:00,1038.3,1039.9,1038,1039,119
16/05/2018 14:18:00,1037.9,1039,1036.3,1038.1,139
16/05/2018 14:21:00,1037,1039,1037,1038,76
16/05/2018 14:24:00,1036.4,1038,1036.3,1037,141
16/05/2018 14:27:00,1036.3,1038.7,1036.3,1038.7,118
16/05/2018 14:30:00,1038.9,1041.4,1038.9,1041,56
16/05/2018 14:45:00,1040.8,1040.8,1040.8,1040.8,175
17/05/2018 09:00:00,1038.1,1039,1038.1,1039,170
17/05/2018 09:03:00,1039.8,1041,1039,1040.8,185
17/05/2018 09:06:00,1039,1040.8,1039,1040.8,51
17/05/2018 09:09:00,1039,1040,1039,1040,89
17/05/2018 09:12:00,1040,1040.5,1039.8,1040,60
17/05/2018 09:15:00,1039.6,1040,1039,1040,139
17/05/2018 09:18:00,1037.2,1039,1036,1038.1,160
17/05/2018 09:21:00,1035.5,1037,1035,1036,165
17/05/2018 09:24:00,1033,1035.5,1033,1033.4,168
17/05/2018 09:27:00,1033,1034,1033,1034,190
17/05/2018 09:30:00,1032,1033,1032,1033,229
17/05/2018 09:33:00,1033.3,1035.5,1033.3,1035.5,104
17/05/2018 09:36:00,1034.6,1035.5,1034.6,1035,130
17/05/2018 09:39:00,1034.6,1035,1034,1035,145
17/05/2018 09:42:00,1035,1035.5,1034.8,1035.1,172
17/05/2018 09:45:00,1035,1036.5,1035,1036.5,218
17/05/2018 09:48:00,1035,1036,1034.5,1035,395
17/05/2018 09:51:00,1034,1034.6,1033,1034.1,263
17/05/2018 09:54:00,1033,1034,1033,1034,161
17/05/2018 09:57:00,1033.6,1035,1033.6,1035,86
17/05/2018 10:00:00,1034.5,1035,1034.5,1035,33
17/05/2018 10:03:00,1034.5,1035,1033.5,1035,60
17/05/2018 10:06:00,1029.3,1033.2,1027,1032,256
17/05/2018 10:09:00,1027.5,1030,1027.1,1030,335
17/05/2018 10:12:00,1028,1030,1028,1030,146
17/05/2018 10:15:00,1029.8,1030.5,1029.5,1030,90
17/05/2018 10:18:00,1025.6,1029,1024.1,1027,348
17/05/2018 10:21:00,1025,1026.3,1025,1026,286
17/05/2018 10:24:00,1026,1027,1026,1026.5,100
17/05/2018 10:27:00,1025.5,1028,1025.1,1028,293
17/05/2018 10:30:00,1027.1,1028.6,1027,1028.5,146
17/05/2018 10:33:00,1028,1029.8,1028,1029.5,138
17/05/2018 10:36:00,1026.2,1028,1026.2,1027,232
17/05/2018 10:39:00,1025.3,1027,1025,1026,124
17/05/2018 10:42:00,1025,1027,1025,1026.8,99
17/05/2018 10:45:00,1025.1,1027,1025.1,1026,258
17/05/2018 10:48:00,1025.6,1026.8,1025.2,1026.5,52
17/05/2018 10:51:00,1024,1026,1022.5,1025.7,233
17/05/2018 10:54:00,1023,1025,1023,1025,115
17/05/2018 10:57:00,1024.6,1025.5,1024,1025.5,189
17/05/2018 11:00:00,1025.5,1026,1025.1,1026,167
17/05/2018 11:03:00,1025.2,1029.9,1025.2,1029,279
17/05/2018 11:06:00,1029.2,1030.4,1028.2,1029.9,220
17/05/2018 11:09:00,1028.2,1029.2,1028.2,1029.2,164
17/05/2018 11:12:00,1029,1029.5,1028.3,1029.5,180
17/05/2018 11:15:00,1028.5,1032,1028.5,1031,138
17/05/2018 11:18:00,1029,1031.6,1029,1030.6,194
17/05/2018 11:21:00,1028.8,1030.4,1028.5,1029.8,123
17/05/2018 11:24:00,1026.2,1031,1026,1031,344
17/05/2018 11:27:00,1030.9,1031.7,1030.5,1031.5,138
17/05/2018 11:30:00,1031,1033.9,1031,1033.9,81
17/05/2018 13:00:00,1036,1036.8,1035.5,1036.1,336
17/05/2018 13:03:00,1035.5,1036.2,1034,1036,431
17/05/2018 13:06:00,1033.5,1035,1033.5,1034.5,302
17/05/2018 13:09:00,1032.2,1033.8,1032.1,1033.5,341
17/05/2018 13:12:00,1032,1033.5,1031,1033,380
17/05/2018 13:15:00,1030.3,1032,1029,1031.5,244
17/05/2018 13:18:00,1026.5,1029,1026.2,1027.5,458
17/05/2018 13:21:00,1026.8,1028.2,1026.8,1028.2,329
17/05/2018 13:24:00,1026.5,1028,1023.5,1027.9,366
17/05/2018 13:27:00,1022,1023.1,1021,1023,668
17/05/2018 13:30:00,1022.9,1024.6,1021.6,1024.4,310
17/05/2018 13:33:00,1021.7,1023,1021.7,1022.9,235
17/05/2018 13:36:00,1021.1,1024,1020.5,1024,328
17/05/2018 13:39:00,1022.6,1025.9,1022.2,1024.1,329
17/05/2018 13:42:00,1024.2,1025.5,1024.2,1025.4,172
17/05/2018 13:45:00,1022.2,1025.4,1022,1025,395
17/05/2018 13:48:00,1024.5,1028,1023.1,1028,339
17/05/2018 13:51:00,1027.2,1028,1026.9,1027.9,534
17/05/2018 13:54:00,1025,1027.5,1025,1025.9,431
17/05/2018 13:57:00,1026,1026,1025,1026,413
17/05/2018 14:00:00,1022,1025,1021.4,1024,409
17/05/2018 14:03:00,1020.1,1021.4,1020.1,1021.4,434
17/05/2018 14:06:00,1020.3,1022.8,1020.3,1022,259
17/05/2018 14:09:00,1021.1,1023,1021,1023,196
17/05/2018 14:12:00,1023.5,1025.9,1023.5,1025.5,332
17/05/2018 14:15:00,1020.3,1025,1018.5,1023.8,834
17/05/2018 14:18:00,1015,1018,1014.3,1017.1,689
17/05/2018 14:21:00,1012.2,1015.9,1012,1014.8,797
17/05/2018 14:24:00,1013,1015,1012.6,1014,444
17/05/2018 14:27:00,1013,1018,1013,1017.2,555
17/05/2018 14:30:00,1017.1,1018,1017,1017.3,198
17/05/2018 14:45:00,1010,1010,1010,1010,988
18/05/2018 09:00:00,1013,1014,1013,1013.6,665
18/05/2018 09:03:00,1013.5,1015,1013.5,1014.4,596
18/05/2018 09:06:00,1013.6,1014.7,1013.2,1014.1,488
18/05/2018 09:09:00,1013,1014.5,1012.5,1014.3,350
18/05/2018 09:12:00,1013.9,1014.5,1013.6,1014.5,249
18/05/2018 09:15:00,1013.8,1014.5,1013.8,1014.5,294
18/05/2018 09:18:00,1014.5,1015.5,1014.2,1015.3,546
18/05/2018 09:21:00,1014.2,1015,1014.2,1014.9,468
18/05/2018 09:24:00,1014.3,1015,1014.3,1015,600
18/05/2018 09:27:00,1014.9,1016,1014.8,1015.5,518
18/05/2018 09:30:00,1014.8,1015.5,1014.7,1015.2,455
18/05/2018 09:33:00,1013.5,1014.6,1013.2,1014.2,989
18/05/2018 09:36:00,1013.6,1014.3,1013.5,1014,382
18/05/2018 09:39:00,1013.7,1014.5,1013.2,1014.4,388
18/05/2018 09:42:00,1012.8,1013.8,1012.6,1013.5,514
18/05/2018 09:45:00,1012,1012.9,1011.5,1012.6,588
18/05/2018 09:48:00,1011,1012.7,1010.6,1012.2,491
18/05/2018 09:51:00,1010.6,1011.4,1009,1011.2,786
18/05/2018 09:54:00,1008.1,1010,1008.1,1010,910
18/05/2018 09:57:00,1010,1010.9,1009.2,1010.1,653
18/05/2018 10:00:00,1010.3,1011.9,1010.2,1011.8,903
18/05/2018 10:03:00,1011.9,1012.8,1011.8,1012.7,756
18/05/2018 10:06:00,1010,1012.4,1009.6,1012.4,928
18/05/2018 10:09:00,1010.4,1011,1010.2,1010.5,304
18/05/2018 10:12:00,1010.3,1012,1010.3,1012,451
18/05/2018 10:15:00,1011.8,1012.3,1011.5,1012,277
18/05/2018 10:18:00,1011.9,1014,1011.9,1013.6,581
18/05/2018 10:21:00,1013,1014.2,1012.8,1014.2,662
18/05/2018 10:24:00,1013.1,1014,1012.6,1013.4,448
18/05/2018 10:27:00,1012.5,1013.2,1011.7,1013,508
18/05/2018 10:30:00,1010,1011.6,1009.8,1010.8,953
18/05/2018 10:33:00,1009,1010.3,1008.7,1009.3,883
18/05/2018 10:36:00,1009,1009.7,1008.8,1009,637
18/05/2018 10:39:00,1006.1,1009.2,1006.1,1008.7,1070
18/05/2018 10:42:00,1006.5,1008.5,1006,1007.3,918
18/05/2018 10:45:00,1005.8,1007.5,1003.3,1007.1,941
18/05/2018 10:48:00,1003,1004.7,1002.6,1004.6,920
18/05/2018 10:51:00,1003.2,1005,1002.6,1004.6,790
18/05/2018 10:54:00,1003.5,1004.6,1003.2,1004.5,645
18/05/2018 10:57:00,1005,1007.4,1005,1006.9,718
18/05/2018 11:00:00,1006,1006.8,1005.5,1006.3,749
18/05/2018 11:03:00,1004.7,1006.5,1003.9,1006,563
18/05/2018 11:06:00,1003.5,1004.5,1003,1004,512
18/05/2018 11:09:00,1001,1003.7,1000.5,1002,957
18/05/2018 11:12:00,1001.8,1003.9,1001.8,1003.5,480
18/05/2018 11:15:00,1002,1003.4,1001.7,1003,379
18/05/2018 11:18:00,1002,1003.5,1001.7,1003.5,647
18/05/2018 11:21:00,999.2,1002.1,998.9,1000.5,1388
18/05/2018 11:24:00,998.1,1000,997.7,999.9,1042
18/05/2018 11:27:00,999.1,1000.2,998.7,1000,733
18/05/2018 11:30:00,999.4,1000.7,999.4,1000.7,327
18/05/2018 13:00:00,1001,1002.4,1000.3,1002.4,588
18/05/2018 13:03:00,1000,1002,999.1,1001.5,474
